year	size
2009	52
2009	40
2009	65
2009	46
2009	55
2009	46
2009	50
2009	58
2009	58
2009	50
2009	7
2009	7
2009	7
2009	42
2009	47
2009	6
2009	47
2009	32
2009	42
2009	26
2009	37
2009	5
2009	42
2009	6
2009	47
2009	82
2009	73
2009	65
2009	60
2009	55
2009	32
2009	37
2009	9
2009	9
2009	5
2009	42
2009	46
2009	40
2009	46
2009	52
2009	50
2009	58
2009	6
2009	6
2009	42
2009	47
2009	52
2009	46
2009	40
2009	52
2009	46
2009	55
2009	40
2009	46
2009	5
2009	47
2009	37
2009	42
2009	50
2009	55
2009	40
2009	46
2009	9
2009	6
2009	46
2009	55
2009	9
2009	46
2009	42
2009	40
2009	65
2009	50
2009	32
2008	37
2008	37
2008	46
2008	52
2008	32
2008	32
2008	37
2008	42
2008	47
2008	32
2008	32
2008	42
2008	47
2008	50
2008	50
2008	37
2008	47
2008	52
2008	42
2008	42
2008	46
2008	63
2008	50
2008	63
2008	32
2008	42
2008	46
2008	52
2008	46
2008	50
2008	42
2008	55
2008	40
2008	46
2008	52
2008	58
2008	60
2008	50
2008	32
2008	60
2008	50
2008	65
2008	55
2008	46
2008	58
2008	58
2008	50
2008	42
2008	50
2008	52
2008	46
2008	46
2008	52
2008	52
2008	46
2008	40
2008	52
2008	46
2008	52
2008	46
2008	40
2008	37
2008	50
2008	42
2008	47
2008	40
2008	40
2008	37
2008	32
2008	40
2008	52
2008	46
2008	46
2008	46
2008	32
2008	46
2008	37
2008	52
2008	26
2008	322
2008	32
2008	60
2008	73
2008	65
2008	67
2008	42
2008	61
2008	60
2008	50
2008	42
2008	40
2008	46
2008	50
2008	40
2008	52
2008	40
2008	52
2008	40
2008	52
2008	46
2008	46
2008	50
2008	46
2008	52
2008	37
2008	52
2008	47
2008	19
2008	22
2008	42
2008	37
2008	26
2008	26
2008	37
2008	42
2008	42
2008	46
2008	50
2008	32
2008	32
2008	32
2008	47
2008	50
2008	46
2008	40
2008	42
2008	52
2008	37
2008	40
2008	32
2008	58
2008	50
2008	42
2008	46
2008	50
2008	37
2008	32
2008	32
2008	47
2008	42
2008	50
2008	11
2008	42
2008	52
2008	58
2008	47
2008	50
2007	40
2007	23
2007	26
2007	23
2007	46
2007	65
2007	42
2007	40
2007	37
2007	52
2007	40
2007	57
2007	73
2007	65
2007	60
2007	50
2007	55
2007	42
2007	37
2007	26
2007	42
2007	52
2007	40
2007	46
2007	42
2007	37
2007	37
2007	32
2007	26
2007	40
2007	40
2007	26
2007	26
2007	46
2007	42
2007	57
2007	46
2007	42
2007	57
2007	52
2007	40
2007	61
2007	50
2007	57
2007	73
2007	46
2007	58
2007	37
2007	42
2007	52
2007	40
2007	42
2007	56
2007	50
2007	58
2007	42
2007	52
2007	42
2007	37
2007	47
2007	46
2007	50
2007	50
2007	42
2007	46
2007	42
2007	42
2007	52
2007	61
2007	50
2007	50
2007	60
2007	47
2007	46
2007	50
2007	65
2007	52
2007	52
2007	58
2007	52
2007	42
2007	50
2007	47
2007	42
2007	42
2007	56
2007	50
2007	32
2007	46
2007	42
2007	46
2007	50
2007	50
2007	47
2007	46
2007	32
2007	47
2007	46
2007	32
2007	32
2007	58
2007	50
2007	52
2007	42
2007	42
2007	50
2007	55
2007	60
2007	60
2007	52
2007	46
2007	58
2007	32
2007	32
2007	47
2007	50
2007	50
2007	65
2006	37
2006	42
2006	50
2006	70
2006	55
2006	61
2006	56
2006	70
2006	61
2006	70
2006	60
2006	56
2006	56
2006	60
2006	42
2006	37
2006	42
2006	42
2006	52
2006	42
2006	32
2006	45
2006	26
2006	40
2006	42
2006	40
2006	46
2006	32
2006	60
2006	42
2006	32
2006	26
2006	23
2006	46
2006	46
2006	40
2006	47
2006	50
2006	56
2006	46
2006	42
2006	50
2006	42
2006	37
2006	40
2006	50
2006	42
2006	42
2006	32
2006	32
2006	42
2006	37
2006	42
2006	65
2006	50
2006	50
2006	40
2006	46
2006	42
2006	56
2006	61
2006	50
2006	60
2006	50
2006	37
2006	61
2006	32
2006	37
2006	1
2006	37
2006	52
2006	56
2006	61
2006	52
2006	61
2006	56
2006	71
2006	61
2006	56
2006	50
2006	61
2006	50
2006	56
2006	32
2006	20
2006	20
2006	50
2006	32
2006	30
2006	32
2006	42
2006	37
2006	40
2006	42
2006	42
2006	32
2006	32
2006	37
2006	42
2006	32
2006	50
2006	37
2006	58
2006	40
2006	26
2006	46
2006	23
2006	50
2006	46
2006	55
2006	40
2006	32
2006	32
2006	32
2006	42
2006	60
2006	42
2006	55
2006	50
2006	42
2006	32
2006	50
2005	40
2005	42
2005	32
2005	20
2005	65
2005	50
2005	56
2005	50
2005	56
2005	61
2005	73
2005	52
2005	62
2005	52
2005	71
2005	61
2005	56
2005	50
2005	62
2005	67
2005	60
2005	50
2005	37
2005	20
2005	37
2005	42
2005	42
2005	32
2005	52
2005	42
2005	42
2005	32
2005	26
2005	23
2005	19
2005	20
2005	42
2005	37
2005	61
2005	56
2005	61
2005	44
2005	42
2005	32
2005	26
2005	26
2005	70
2005	60
2005	55
2005	42
2005	42
2005	37
2005	32
2005	73
2005	62
2005	73
2005	62
2005	32
2005	37
2005	32
2005	55
2005	42
2005	55
2005	42
2005	42
2005	46
2005	40
2005	26
2005	32
2005	40
2005	32
2005	26
2005	26
2005	23
2005	20
2005	15
2005	20
2005	17
2005	15
2005	63
2005	50
2005	42
2005	50
2005	42
2005	42
2005	58
2005	50
2005	50
2005	42
2005	26
2005	37
2005	60
2005	55
2005	50
2005	60
2005	55
2005	50
2005	50
2005	32
2005	32
2005	50
2005	30
2005	32
2005	42
2005	42
2005	37
2005	50
2005	42
2005	52
2005	50
2005	37
2005	17
2005	30
2005	32
2005	52
2005	50
2005	62
2005	62
2005	52
2005	42
2005	50
2005	37
2005	27
2005	50
2005	46
2005	42
2005	61
2005	56
2005	30
2005	32
2005	32
2005	43
2005	43
2005	45
2005	52
2005	62
2005	62
2005	52
2005	32
2005	37
2005	65
2005	32
2005	42
2005	42
2005	42
2005	57
2005	42
2005	42
2005	42
2005	42
2005	42
2005	42
2005	42
2005	42
2004	50
2004	50
2004	46
2004	61
2004	56
2004	61
2004	42
2004	50
2004	46
2004	32
2004	1
2004	46
2004	62
2004	52
2004	46
2004	42
2004	55
2004	50
2004	32
2004	60
2004	55
2004	55
2004	60
2004	42
2004	62
2004	61
2004	52
2004	50
2004	21
2004	26
2004	23
2004	42
2004	42
2004	42
2004	52
2004	42
2004	52
2004	61
2004	42
2004	42
2004	34
2004	23
2004	70
2004	46
2004	50
2004	50
2004	50
2004	50
2004	50
2004	50
2004	42
2004	43
2004	50
2004	20
2004	56
2004	55
2004	26
2004	15
2004	30
2004	21
2004	42
2004	17
2004	60
2004	32
2004	17
2004	45
2004	45
2004	46
2004	50
2004	43
2004	30
2004	30
2004	30
2004	50
2004	42
2004	50
2004	26
2004	43
2004	23
2004	60
2004	32
2004	50
2004	56
2004	30
2003	30
2003	34
2003	42
2003	17
2003	17
2003	17
2003	17
2003	17
2003	17
2003	17
2003	26
2003	46
2003	22
2003	55
2003	51
2003	42
2003	42
2003	57
2003	46
2003	46
2003	42
2003	46
2003	46
2003	34
2003	42
2003	30
2003	20
2003	42
2003	51
2003	32
2003	36
2003	51
2003	55
2003	42
2003	34
2003	30
2003	42
2003	32
2003	46
2003	34
2003	27
2003	32
2003	32
2002	32
2002	60
2002	50
2002	24
2002	24
2002	24
2002	47
2002	40
2002	27
2002	27
2002	27
2002	27
2002	34
2002	36
2002	32
2002	34
2002	34
2002	30
2002	65
2002	42
2002	53
2001	50
2001	27
